Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,320,MAHARASHTRA,Mumbai Sub,,7263.56,,7263.56,,1787.65831,,1787.65831,,82.271,,82.271,,0,,0,1869.92931
2024-25,321,MAHARASHTRA,Nagpur,42911.95463,77483.7792,,120395.7338,3969.936182,6282.55222,,10252.4884,1104.862286,1096.143373,,2201.005659,11927.32642,30346.48606,,42273.81248,54727.30654
2024-25,322,MAHARASHTRA,Nanded,22578.69,96078.03,,118656.72,1156.754983,2229.14148,,3385.896463,0,1.2125,,1.2125,9499.91169,25365.33229,,34865.24398,38252.35294
2024-25,323,MAHARASHTRA,Nandurbar,6159.75,42799.43559,,48959.18559,821.998425,2163.618536,,2985.616961,0,0,,0,1898.12388,15718.85296,,17616.97684,20602.59381
2024-25,324,MAHARASHTRA,Nashik,42850.4,146985.26,,189835.66,807.00604,2786.63,,3593.63604,19.8075,1182.561,,1202.3685,19662.68785,84983.71859,,104646.4064,109442.411
2024-25,325,MAHARASHTRA,Osmanabad,,,,,,,,,,,,,,,,,0
2024-25,326,MAHARASHTRA,Palghar,3464.22,17601.8,,21066.02,145.96491,871.26768,,1017.23259,5.1,38.7,,43.8,568.066,3310.391,,3878.457,4939.48959
2024-25,327,MAHARASHTRA,Parbhani,42647.17,39571.84,,82219.01,847.14,1103.04296,,1950.18296,0,0,,0,16964.43738,19247.89156,,36212.32894,38162.5119
2024-25,328,MAHARASHTRA,Pune,76518.16,105821.5142,3596.293149,185935.9674,2847.1982,5214.882668,353.2551578,8415.336026,0,0,0,0,44873.2414,61244.50811,9392.286868,115510.0364,123925.3724
2024-25,329,MAHARASHTRA,Raigad,5075.51,30097.52,,35173.03,119.1772,2119.66726,,2238.84446,0,40.45927616,,40.45927616,285.922,3966.276,,4252.198,6531.501736
2024-25,330,MAHARASHTRA,Ratnagiri,1275.73,37770.75,,39046.48,81.77157,1253.52534,,1335.29691,0,0,,0,254.808,5347.92,,5602.728,6938.02491
2024-25,331,MAHARASHTRA,Sangli,88692.69448,55074.24857,2869.35,146636.2931,1696.018521,3115.8422,38.8725,4850.733221,0,0,0,0,42819.33911,47152.76342,0,89972.10252,94822.83574
2024-25,332,MAHARASHTRA,Satara,35846.93,77667.31,,113514.24,1191.144,3775.6589,,4966.8029,0,0,,0,14608.643,46150.94225,,60759.58525,65726.38815
2024-25,333,MAHARASHTRA,Sindhudurg,559.97,21732.28,,22292.25,63.7728,2205.442785,,2269.215585,0,7.1646,,7.1646,271.12393,7367.29446,,7638.41839,9914.798575
2024-25,334,MAHARASHTRA,Solapur,32845.39,107509.07,,140354.46,1127.93188,3725.07721,,4853.00909,2.061,0.5874,,2.6484,23051.39572,73035.8228,,96087.21851,100942.876
2024-25,335,MAHARASHTRA,Thane,2051.42,14271.14,,16322.56,49.41151,690.19425,,739.60576,0,0,,0,88.632,2309.031,,2397.663,3137.26876
2024-25,336,MAHARASHTRA,Wardha,35466.45,54278.03,,89744.48,1161.77339,2293.72102,,3455.49441,44.99775,73.8019,,118.79965,13862.47438,25131.17402,,38993.6484,42567.94246
2024-25,337,MAHARASHTRA,Washim,9768.71,51271.71,,61040.42,648.471961,1497.00955,,2145.481511,4.8674,3.644,,8.5114,2217.52834,29926.01108,,32143.53942,34297.53233
2024-25,338,MAHARASHTRA,Yawatmal,24762.34,94641.09,,119403.43,1607.521856,6064.576008,,7672.097864,13.801,42.3309,,56.1319,6901.705428,30472.67845,,37374.38388,45102.61365
2024-25,339,MANIPUR,BISHNUPUR,0,8714.26,0,8714.26,,262.8921625,,262.8921625,,6,,6,,327,,327,595.8921625
2024-25,340,MANIPUR,CHANDEL,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,341,MANIPUR,CHURACHANPUR,0,5979.12,0,5979.12,,175.2487275,,175.2487275,,18,,18,,270,,270,463.2487275
2024-25,342,MANIPUR,IMPHAL EAST,0,11418.85,0,11418.85,,458.7609263,,458.7609263,,30,,30,,573,,573,1061.760926
2024-25,343,MANIPUR,IMPHAL WEST,0,7870.7,0,7870.7,,521.0857713,,521.0857713,,24,,24,,285,,285,830.0857713
2024-25,344,MANIPUR,SENAPATI,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,345,MANIPUR,TAMENGLONG,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,346,MANIPUR,THOUBAL,0,5773.32,0,5773.32,,424.6695613,,424.6695613,,0,,0,,240,,240,664.6695613
2024-25,347,MANIPUR,UKHRUL,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,348,MEGHALAYA,EAST GARO HILLS,0,7643.46,0,7643.46,,346.103674,,346.103674,,0,,0,,0,,0,346.103674
2024-25,349,MEGHALAYA,EAST JAINTIA HILLS,0,15116.31,0,15116.31,,194.9070912,,194.9070912,,38.84,,38.84,,0,,0,233.7470912
2024-25,350,MEGHALAYA,EAST KHASI HILLS,0,19635.67,0,19635.67,,662.9535316,,662.9535316,,35.236,,35.236,,0,,0,698.1895316
2024-25,351,MEGHALAYA,NORTH GARO HILLS,0,7743.68,0,7743.68,,415.557274,,415.557274,,81.3585,,81.3585,,1.8,,1.8,498.715774
2024-25,352,MEGHALAYA,RI BHOI,0,5835.34,0,5835.34,,322.0655421,,322.0655421,,32.73,,32.73,,0,,0,354.7955421
2024-25,353,MEGHALAYA,SOUTH GARO HILLS,0,21126.28,0,21126.28,,256.6106266,,256.6106266,,0.36,,0.36,,0,,0,256.9706266
2024-25,354,MEGHALAYA,SOUTH WEST GARO HILLS,0,3875.98,0,3875.98,,254.5248229,,254.5248229,,0,,0,,511.92,,511.92,766.4448229
2024-25,355,MEGHALAYA,SOUTH WEST KHASI HILLS,0,12899.8,0,12899.8,,138.035465,,138.035465,,0,,0,,0,,0,138.035465
2024-25,356,MEGHALAYA,WEST GARO HILLS,0,19046.95,0,19046.95,,1007.181619,,1007.181619,,4.526,,4.526,,2662.2,,2662.2,3673.907619
2024-25,357,MEGHALAYA,WEST JAINTIA HILLS,0,10047.12,0,10047.12,,608.0214741,,608.0214741,,3.287,,3.287,,0,,0,611.3084741
2024-25,358,MEGHALAYA,WEST KHASI HILLS,0,30568.85,0,30568.85,,463.0876672,,463.0876672,,0.3285,,0.3285,,0,,0,463.4161672
2024-25,359,MIZORAM,AIZAWL,0,1370.81,0,1370.81,,200.5348562,,200.5348562,,0,,0,,0,,0,200.5348562
2024-25,360,MIZORAM,CHAMPHAI,0,1423.64,0,1423.64,,44.58028751,,44.58028751,,0,,0,,0,,0,44.58028751
2024-25,361,MIZORAM,KOLASIB,0,2498.83,0,2498.83,,31.63085255,,31.63085255,,0,,0,,0,,0,31.63085255
2024-25,362,MIZORAM,LAWNGTLAI,0,3039.64,0,3039.64,,104.2691887,,104.2691887,,0,,0,,0,,0,104.2691887
2024-25,363,MIZORAM,LUNGLEI,0,4447.04,0,4447.04,,191.4716562,,191.4716562,,0,,0,,0,,0,191.4716562
2024-25,364,MIZORAM,MAMIT,0,4658.72,0,4658.72,,102.76525,,102.76525,,0,,0,,0,,0,102.76525
2024-25,365,MIZORAM,SAIHA,0,695.46,0,695.46,,40.44249275,,40.44249275,,0,,0,,0,,0,40.44249275
2024-25,366,MIZORAM,SERCHHIP,0,820.47,0,820.47,,48.23665165,,48.23665165,,0,,0,,0,,0,48.23665165
2024-25,367,NAGALAND,Dimapur,0,20998.07,0,20998.07,,822.6344203,,822.6344203,,3.48,,3.48,,583.2,,583.2,1409.31442
2024-25,368,NAGALAND,Kiphire,0,522.15,0,522.15,,9.166018398,,9.166018398,,0,,0,,0,,0,9.166018398
2024-25,369,NAGALAND,Kohima,0,2773.3,0,2773.3,,215.9557242,,215.9557242,,0.2,,0.2,,0,,0,216.1557242
2024-25,370,NAGALAND,Longleng,0,1389.8,0,1389.8,,6.549367608,,6.549367608,,0,,0,,0,,0,6.549367608
2024-25,371,NAGALAND,Mokokchung,0,5620.3,0,5620.3,,62.22318974,,62.22318974,,0,,0,,33.19536,,33.19536,95.41854974
2024-25,372,NAGALAND,Mon,0,3987.36,0,3987.36,,139.1797609,,139.1797609,,0.1666668,,0.1666668,,7.298304,,7.298304,146.6447317
2024-25,373,NAGALAND,Peren,0,4053.17,0,4053.17,,78.9394825,,78.9394825,,0,,0,,92.423808,,92.423808,171.3632905
2024-25,374,NAGALAND,Phek,0,1063.27,0,1063.27,,37.67097763,,37.67097763,,0,,0,,0,,0,37.67097763
2024-25,375,NAGALAND,Tuensang,0,1308.25,0,1308.25,,46.73240699,,46.73240699,,0,,0,,0,,0,46.73240699
2024-25,376,NAGALAND,Wokha,0,6870.44,0,6870.44,,168.8312768,,168.8312768,,0.72,,0.72,,8.583744,,8.583744,178.1350208
2024-25,377,NAGALAND,Zunheboto,0,1706.45,0,1706.45,,57.93587834,,57.93587834,,1,,1,,0,,0,58.93587834
2024-25,378,PUDUCHERRY,KARAIKAL,1946.78,2034.82,0,3981.6,,946.8777075,0,946.8777075,,17.58,0,17.58,,528.78,0,528.78,1493.237708
2024-25,379,PUDUCHERRY,PUDUCHERRY,110.05,13347.97,0,13458.02,,4322.423805,0,4322.423805,,547.2,0,547.2,,6888.5,0,6888.5,11758.12381
2024-25,380,PUNJAB,Amritsar,124711.65,0,0,124711.65,9661.17186,,,9661.17186,1288.1268,,,1288.1268,188994.67,,,188994.67,199943.9687
2024-25,381,PUNJAB,Barnala,48893.01,0,0,48893.01,2521.7485,,0,2521.7485,43.92,,0,43.92,104683.61,,0,104683.61,107249.2785
2024-25,382,PUNJAB,Bathinda,123264.31,0,12876.1,136140.41,2487.948989,,0,2487.948989,347.57,,0,347.57,154989.72,,10545.64,165535.36,168370.879
2024-25,383,PUNJAB,Faridkot,43046.68,0,30760.96,73807.64,966.4981,,0,966.4981,66.3,,0,66.3,50285.47,,28356.77,78642.24,79675.0381
2024-25,384,PUNJAB,Fatehgarh Sahib,35756.99,0,0,35756.99,2536.62225,,,2536.62225,2595.89,,,2595.89,59992.87,,,59992.87,65125.38225
2024-25,385,PUNJAB,Fazilka,66186.63,0,48414.8,114601.43,1861.037034,,0,1861.037034,44.16,,0,44.16,41235.94,,30783,72018.94,73924.13703
2024-25,386,PUNJAB,Firozpur,125528.76,0,23988.12,149516.88,3489.3343,,0,3489.3343,137.73,,0,137.73,133024.91,,20746.48,153771.39,157398.4543
2024-25,387,PUNJAB,Gurdaspur,136765.79,0,0,136765.79,7088.2927,,,7088.2927,119.18,,,119.18,158465.08,,,158465.08,165672.5527
2024-25,388,PUNJAB,Hoshiarpur,76100.67,4312.16,0,80412.83,6693.6766,,,6693.6766,131.54,,,131.54,93537.38411,,,93537.38411,100362.6007
2024-25,389,PUNJAB,Jalandhar,86196.69,0,0,86196.69,16251.80641,,,16251.80641,2749.7155,,,2749.7155,223357.6328,,,223357.6328,242359.1547
2024-25,390,PUNJAB,Kapurthala,56633.74,0,0,56633.74,3457.9443,,,3457.9443,2499.4,,,2499.4,131638.89,,,131638.89,137596.2343
2024-25,391,PUNJAB,Ludhiana,123365.4,0,0,123365.4,20180.49632,,,20180.49632,7247.08,,,7247.08,212709.16,,,212709.16,240136.7363
2024-25,392,PUNJAB,Malerkotla,19433.77,0,0,19433.77,2003.20395,,,2003.20395,541.2,,,541.2,56132.45,,,56132.45,58676.85395
2024-25,393,PUNJAB,Mansa,71848.03,0,36854.64,108702.67,283.997375,,0,283.997375,54.44,,0,54.44,77767.09,,34367.4,112134.49,112472.9274
2024-25,394,PUNJAB,Moga,70072.86,0,132.5,70205.36,2761.263143,,,2761.263143,122.32,,,122.32,160446,,,160446,163329.5831
2024-25,395,PUNJAB,Muktsar,96264.14,0,54768.92,151033.06,0,,0,0,73.15,,0,73.15,26700.53,,43860.09,70560.62,70633.77
2024-25,396,PUNJAB,Pathankot,41595.24,1698.96,0,43294.2,2853.08455,,,2853.08455,172.96,,,172.96,14747.46,,,14747.46,17773.50455
2024-25,397,PUNJAB,Patiala,90645.7,0,795.12,91440.82,8002.52645,,0,8002.52645,678.08913,,0,678.08913,180345.9062,,0,180345.9062,189026.5218
2024-25,398,PUNJAB,Rupnagar,39271.86,71.2,0,39343.06,2889.8948,,,2889.8948,656.67,,,656.67,32962.6,,,32962.6,36509.1648
2024-25,399,PUNJAB,SAS Nagar,20384.27,1.1,0,20385.37,4170.4535,,0,4170.4535,3495.48,,0,3495.48,16165.28,,0,16165.28,23831.2135
2024-25,400,PUNJAB,SBS Nagar,47698.11,1375.3,560.42,49633.83,2598.14665,,0,2598.14665,415.46,,0,415.46,53524.25,,330.75,53855,56868.60665
2024-25,401,PUNJAB,Sangrur,63227.66,0,0,63227.66,4993.12335,,,4993.12335,1554.45,,,1554.45,189450.32,,,189450.32,195997.8934
2024-25,402,PUNJAB,Tarn Taran,65592.76,0,0,65592.76,4736.8459,,,4736.8459,138.08,,,138.08,127942.18,,,127942.18,132817.1059
2024-25,403,RAJASTHAN,AJMER,0,33580.91,0,33580.91,,1273.647819,,1273.647819,,176,,176,,44940.0425,,44940.0425,46389.69032
2024-25,404,RAJASTHAN,ALWAR,0,70488.78,3960.84,74449.62,,14105.7831,0,14105.7831,,3413.3492,0,3413.3492,,110871.595,2635.29,113506.885,131026.0173
2024-25,405,RAJASTHAN,BANSWARA,10476.08,10426.54,0,20902.62,1313.411305,1230.189559,,2543.600864,0,4.02,,4.02,4963.222856,7043.521964,,12006.74482,14554.36568
2024-25,406,RAJASTHAN,BARAN,13644.76,44755.5,0,58400.26,1950.51,7206.8,,9157.31,0,102.57,,102.57,11790.48,57735.72,,69526.2,78786.08
2024-25,407,RAJASTHAN,BARMER,0,34883.49,27688.94,62572.43,,7441.065,1769.22,9210.285,,438,852,1290,,39038.605,5138.805,44177.41,54677.695
2024-25,408,RAJASTHAN,BHARATPUR,0,38315.32,11656.06,49971.38,,6635.861164,1396.238633,8032.099797,,71.8466,0,71.8466,,38013.036,2800.998,40814.034,48917.9804
2024-25,409,RAJASTHAN,BHILWARA,4020.71,36761.76,0,40782.47,375.8132,4537.6484,,4913.4616,447.0379,288.8352,,735.8731,3525.755,54366.33,,57892.085,63541.4197
2024-25,410,RAJASTHAN,BIKANER,1817.32,26377.83,28282.79,56477.94,12.8,10404.9,0,10417.7,0,71,11,82,0,29146.301,0,29146.301,39646.001
2024-25,411,RAJASTHAN,BUNDI,15488.31,17241.98,0,32730.29,1028.112643,2892.023385,,3920.136029,0,66,,66,8323.8,19080.455,,27404.255,31390.39103
2024-25,412,RAJASTHAN,CHITTAURGARH,3562.21,27756.16,0,31318.37,388.7663,1928.2691,,2317.0354,0,107.2294,,107.2294,5227.938,43040.859,,48268.797,50693.0618
2024-25,413,RAJASTHAN,CHURU,0,15541.57,4937.42,20478.99,,3789.8173,0,3789.8173,,4.76,0,4.76,,16234.8035,0,16234.8035,20029.3808
2024-25,414,RAJASTHAN,DAUSA,0,25184.08,0,25184.08,,11726.49971,,11726.49971,,3.1892,,3.1892,,46859.535,,46859.535,58589.22391
2024-25,415,RAJASTHAN,DHAULPUR,1628.73,24177.83,0,25806.56,381.91,4432.615,,4814.525,0,15.73,,15.73,3078.29,27712.27,,30790.56,35620.815
2024-25,416,RAJASTHAN,DUNGARPUR,1536.01,18890.96,0,20426.97,96.365952,805.835018,,902.20097,0,1.1105,,1.1105,680.695294,10918.20383,,11598.89912,12502.21059
2024-25,417,RAJASTHAN,GANGANAGAR,43292.97,0,92322.66,135615.63,43.715,,38.08,81.795,39,,0,39,17395.725,,17006.3545,34402.0795,34522.8745
2024-25,418,RAJASTHAN,HANUMANGARH,20579.01,0,67843.91,88422.92,1589.7,,326.55,1916.25,200,,0,200,11659.0425,,34949.6701,46608.7126,48724.9626
2024-25,419,RAJASTHAN,JAIPUR,0,71377.76,1394.36,72772.12,,42974.33915,0,42974.33915,,1662.628317,0,1662.628317,,110263.2328,0,110263.2328,154900.2003
2024-25,420,RAJASTHAN,JAISALMER,0,9614.27,39808.87,49423.14,,4163.1041,836.085,4999.1891,,7.0656,0,7.0656,,26772.72,4579.8,31352.52,36358.7747
2024-25,421,RAJASTHAN,JALOR,12676.45,31979.74,10340.81,54997,236.28,4158.825,192.96,4588.065,0,2.582,0,2.582,13123.7775,62030.425,2623.265,77777.4675,82368.1145
2024-25,422,RAJASTHAN,JHALAWAR,6581.7,46954.31,0,53536.01,1037.335492,3163.685932,,4201.021425,0,0.41,,0.41,6624.63758,45883.59948,,52508.23706,56709.66849
2024-25,423,RAJASTHAN,JHUNJHUNU,0,22436.15,432.07,22868.22,,15194.8448,62.8384,15257.6832,,564.1575,0,564.1575,,35293.728,97.92,35391.648,51213.4887
2024-25,424,RAJASTHAN,JODHPUR,0,38078.5,8815.55,46894.05,,15817.12,220.84,16037.96,,677.58,129.5,807.08,,80593.165,294.3,80887.465,97732.505
2024-25,425,RAJASTHAN,KARAULI,3110.23,29582.77,0,32693,416.4930636,5165.224229,,5581.717292,0,0.07,,0.07,4947.480876,38344.5,,43291.98088,48873.76817
2024-25,426,RAJASTHAN,KOTA,27831.78,19386.91,0,47218.69,5053.653,4941.5,,9995.153,0,180.93,,180.93,19635.48,22595.16,,42230.64,52406.723
2024-25,427,RAJASTHAN,NAGAUR,0,58659.2,5547.3,64206.5,,14938.2,643.2,15581.4,,1147.65,9.6,1157.25,,93744.866,2727.9175,96472.7835,113211.4335
2024-25,428,RAJASTHAN,PALI,2620.51,28968.86,11266.48,42855.85,110.16,4555.62156,248.6795,4914.46106,0.126,20.6932,0.7754,21.5946,1025.15,44301.23,3641.39,48967.77,53903.82566
2024-25,429,RAJASTHAN,PRATAPGARH,1251.46,19852.03,0,21103.49,139.13,559.07647,,698.20647,0,19,,19,1093.15,25449.40711,,26542.55711,27259.76358
2024-25,430,RAJASTHAN,RAJSAMAND,1483.03,9776.82,0,11259.85,250.9803397,2376.152194,,2627.132534,0,391.642,,391.642,912.070402,9655.704157,,10567.77456,13586.54909
2024-25,431,RAJASTHAN,SAWAI MADHOPUR,5408.96,36323.42,0,41732.38,1326.788376,6523.703872,,7850.492248,0.0002,0.217624,,0.217824,7898.443,47729.09769,,55627.54069,63478.25077
2024-25,432,RAJASTHAN,SIKAR,0,34927.43,318.82,35246.25,,14828.9418,0,14828.9418,,221.3135,0,221.3135,,51781.85108,133.3436339,51915.19472,66965.45001
2024-25,433,RAJASTHAN,SIROHI,0,27912.11,0,27912.11,,1985.6,,1985.6,,348.31,,348.31,,30964.36,,30964.36,33298.27
2024-25,434,RAJASTHAN,TONK,14120.32,30874.05,0,44994.37,5457.985663,5673.712462,0,11131.69813,9,27,0,36,6750.557037,23215.5064,82.19583057,30048.25927,41215.95739
2024-25,435,RAJASTHAN,UDAIPUR,4031.06,25919.63,0,29950.69,382.574,3589.971,,3972.545,100.844,1958.947,,2059.791,2712.3095,21229.0865,,23941.396,29973.732
2024-25,436,SIKKIM,Gangtok,0,6134.97,0,6134.97,,118.50966,,118.50966,,6.08225,,6.08225,,285.1,,285.1,409.69191
2024-25,437,SIKKIM,Gyalsingh,0,3412.42,0,3412.42,,31.49439,,31.49439,,0,,0,,206.1,,206.1,237.59439
2024-25,438,SIKKIM,Mangan,0,3344.94,0,3344.94,,21.3869925,,21.3869925,,0,,0,,83.6,,83.6,104.9869925
2024-25,439,SIKKIM,Namchi,0,3191.38,0,3191.38,,61.2179825,,61.2179825,,16.19,,16.19,,136.45,,136.45,213.8579825
2024-25,440,SIKKIM,Pakyong,0,4520.53,0,4520.53,,38.343615,,38.343615,,61.20205,,61.20205,,120.6,,120.6,220.145665
2024-25,441,SIKKIM,Soreng,0,1143.87,0,1143.87,,27.33996,,27.33996,,0,,0,,62.7,,62.7,90.03996
2024-25,442,TAMILNADU,ARIYALUR,8699.91,28640.99,0,37340.9,,1933.451867,,1933.451867,,84.23214,,84.23214,,16088.46,,16088.46,18106.14401
2024-25,443,TAMILNADU,CHENGALPATTU,74.36,62722.52,0,62796.88,,762.8928901,,762.8928901,,536.14856,,536.14856,,38904.17344,,38904.17344,40203.21489
2024-25,444,TAMILNADU,CHENNAI,123.85,8793.45,0,8917.3,,9340.040104,,9340.040104,,1345.1,,1345.1,,169.3,,169.3,10854.4401
2024-25,445,TAMILNADU,COIMBATORE,18710.77,37515.24,0,56226.01,0,1525.074368,,1525.074368,0,1645.55222,,1645.55222,0,48374.63,,48374.63,51545.25659
2024-25,446,TAMILNADU,CUDDALORE,3010.24,104808.77,0,107819.01,,1780.217974,,1780.217974,,83.981,,83.981,,65822.151,,65822.151,67686.34997
2024-25,447,TAMILNADU,DHARMAPURI,135.12,47585.65,0,47720.77,,764.8904059,,764.8904059,,47.5,,47.5,,41539.09,,41539.09,42351.48041
2024-25,448,TAMILNADU,DINDIGUL,5249.23,48385.39,0,53634.62,,1742.833923,,1742.833923,,429.9217325,,429.9217325,,60821.667,,60821.667,62994.42266
2024-25,449,TAMILNADU,ERODE,16448.7,69117.45,0,85566.15,,924.9173828,,924.9173828,,1197.811511,,1197.811511,,60981.7,,60981.7,63104.42889
2024-25,450,TAMILNADU,KALLAKURICHCHI,1035.63,57795.86,0,58831.49,,628.0916076,,628.0916076,,37.3,,37.3,,46838.816,,46838.816,47504.20761
2024-25,451,TAMILNADU,KANCHEEPURAM,45.92,53515.6,0,53561.52,,324.124453,,324.124453,,1213.5912,,1213.5912,,24748.02,,24748.02,26285.73565
2024-25,452,TAMILNADU,KANNIYAKUMARI,10665.92,23215.75,0,33881.67,,1051.278505,,1051.278505,,141.2986198,,141.2986198,,3256.2,,3256.2,4448.777125
2024-25,453,TAMILNADU,KARUR,6064.15,23345.36,0,29409.51,,528.8364047,,528.8364047,,452.134144,,452.134144,,29019.96,,29019.96,30000.93055
2024-25,454,TAMILNADU,KRISHNAGIRI,91.07,51077.15,0,51168.22,,465.0766145,,465.0766145,,763.509568,,763.509568,,45394.76,,45394.76,46623.34618
2024-25,455,TAMILNADU,MADURAI,8699.52,62084.06,0,70783.58,,4610.603247,,4610.603247,,3359.314,,3359.314,,41996.5,,41996.5,49966.41725
2024-25,456,TAMILNADU,MAYILADUTHURAI,101.79,15958.39,2813.12,18873.3,,865.768406,0,865.768406,,1.3517775,0.23112,1.5828975,,31928.76347,0,31928.76347,32796.11477
2024-25,457,TAMILNADU,NAGAPATTINAM,0,0,73808.94,73808.94,,,610.38,610.38,,,3081.18749,3081.18749,,,27807.6836,27807.6836,31499.25109
2024-25,458,TAMILNADU,NAMAKKAL,6760.9,45764.47,0,52525.37,,1060.911063,,1060.911063,,589.23113,,589.23113,,59379.68,,59379.68,61029.82219
2024-25,459,TAMILNADU,PERAMBALUR,6231.31,19764.09,0,25995.4,,505.1694781,,505.1694781,,41.8247,,41.8247,,26970.04,,26970.04,27517.03418
2024-25,460,TAMILNADU,PUDUKKOTTAI,10996.63,87641.95,5889.01,104527.59,,1066.551891,2.49,1069.041891,,602.0244268,0,602.0244268,,45772.34,18.6,45790.94,47462.00632
2024-25,461,TAMILNADU,RAMANATHAPURAM,0,62274.07,11905.27,74179.34,,263.654592,68.186098,331.84069,,68.5,7.2,75.7,,5697.9,1596.41,7294.31,7701.85069
2024-25,462,TAMILNADU,RANIPET,15.09,30106.71,0,30121.8,,1452.033757,,1452.033757,,1245.17,,1245.17,,22763.32,,22763.32,25460.52376
2024-25,463,TAMILNADU,SALEM,8858.93,38671.89,0,47530.82,,1062.279901,,1062.279901,,344.3,,344.3,,68713.83,,68713.83,70120.4099
2024-25,464,TAMILNADU,SIVAGANGAI,1522.32,68905.83,0,70428.15,,1430.7918,,1430.7918,,260.1615,,260.1615,,16647.12,,16647.12,18338.0733
2024-25,465,TAMILNADU,TENKASI,14326.83,39338.96,0,53665.79,,895.9331433,,895.9331433,,187.0771231,,187.0771231,,39827.34,,39827.34,40910.35027
2024-25,466,TAMILNADU,THANJAVUR,3911.47,113213.22,0,117124.69,,38778.85887,,38778.85887,,849.7776192,,849.7776192,,76702.29048,,76702.29048,116330.927
2024-25,467,TAMILNADU,THE NILGIRIS,147.91,7018.05,0,7165.96,,209.592094,,209.592094,,52.4,,52.4,,654.2,,654.2,916.192094
2024-25,468,TAMILNADU,THENI,5305.14,21671.36,0,26976.5,,701.4233266,,701.4233266,,127.124425,,127.124425,,21731.617,,21731.617,22560.16475
2024-25,469,TAMILNADU,THIRUVARUR,2595.21,85002.25,34219.18,121816.64,,1708.181295,20.24,1728.421295,,405.2394678,6.61266825,411.8521361,,28082.65,220.63575,28303.28575,30443.55918
2024-25,470,TAMILNADU,THOOTHUKUDI,18280.51,59287.03,0,77567.54,,464.6651,,464.6651,,407.0224225,,407.0224225,,20311.24,,20311.24,21182.92752
2024-25,471,TAMILNADU,TIRUCHIRAPPALLI,13528.34,50477.53,0,64005.87,,1146.474914,,1146.474914,,647.726507,,647.726507,,51944.393,,51944.393,53738.59442
2024-25,472,TAMILNADU,TIRUNELVELI,29856.69,50748.99,0,80605.68,,740.4733631,,740.4733631,,126.4401125,,126.4401125,,31513.85,,31513.85,32380.76348
2024-25,473,TAMILNADU,TIRUPATHUR,0,9712.9,0,9712.9,,492.0173085,,492.0173085,,31.085,,31.085,,13354.12,,13354.12,13877.22231
2024-25,474,TAMILNADU,TIRUPPUR,20920.84,47750.63,0,68671.47,,601.01771,,601.01771,,841.65015,,841.65015,,53204.03,,53204.03,54646.69786
2024-25,475,TAMILNADU,TIRUVALLUR,1437.82,73807.46,1228.47,76473.75,,2093.137479,44.577269,2137.714748,,1323.803,1.6,1325.403,,38258.20452,504.2400583,38762.44458,42225.56233
2024-25,476,TAMILNADU,TIRUVANNAMALAI,882.19,123936.2,0,124818.39,,8380.664105,,8380.664105,,3097.67388,,3097.67388,,96934.7206,,96934.7206,108413.0586
2024-25,477,TAMILNADU,VELLORE,8.07,18166.24,0,18174.31,,1168.445602,,1168.445602,,282.73,,282.73,,20676.33,,20676.33,22127.5056
2024-25,478,TAMILNADU,VILLUPURAM,222.89,96502.07,0,96724.96,,1137.358332,0,1137.358332,,53.4,0,53.4,,80365.102,0,80365.102,81555.86033
2024-25,479,TAMILNADU,VIRUDHUNAGAR,4743.63,63687.91,0,68431.54,,457.223372,,457.223372,,1986.32861,,1986.32861,,38623.052,,38623.052,41066.60398
2024-25,480,TELANGANA,Adilabad,6419.28,44601.07,0,51020.35,159.7033875,3009.1158,,3168.819188,6.1,304.78,,310.88,1280.01,15857.05,,17137.06,20616.75919
2024-25,481,TELANGANA,Bhadradri Kothagudem,15975.06,85132.42,0,101107.48,743.34672,3640.57384,,4383.92056,208.8,3404.28,,3613.08,1174.905,24133.715,,25308.62,33305.62056
2024-25,482,TELANGANA,Hanumakonda,32927.64,15253.01,0,48180.65,724.476,979.13,,1703.606,549.42,434.6,,984.02,16993.7949,9640.947181,,26634.74208,29322.36808
2024-25,483,TELANGANA,Hyderabad,0,6165.55,0,6165.55,,5646.031576,,5646.031576,,415.8,,415.8,,0,,0,6061.831576
2024-25,484,TELANGANA,Jagtial,60264.97,9789.74,0,70054.71,213.73938,86.51178,,300.25116,470.48,125.22,,595.7,18410.06,5831.865,,24241.925,25137.87616
2024-25,485,TELANGANA,Jangaon,12237.49,16448.66,0,28686.15,410.56512,709.71624,,1120.28136,138.24,321.84,,460.08,5351.31,10255.17,,15606.48,17186.84136
2024-25,486,TELANGANA,Jayashankar Bhupalapally,23143.1,24069.21,0,47212.31,607.81566,781.63404,,1389.4497,78.741,1019.6856,,1098.4266,8401.57,9320.86,,17722.43,20210.3063
